title,org,deadline,fee,category,description,url,instagram,location,prize,eligibility,submitVia,requirements,jury,resultsDate,ai,slug,orgInTitle,dateAdded
Sarajevo Photography Festival 2026,Sarajevo Photography Festival,2026-04-10,€15-30,exhibition,"Opening week June 1-7, 2026. Grand Prix: €2,000 cash. Canon-sponsored professional awards. Eight competition categories. Total prizes ~€7,000.",https://sarajevophotofest.com/spf-submit/,@sarajevophotographyfestival,"Sarajevo, Bosnia and Herzegovina","€2,000",,Website form,,"Simone Azzoni, Professor, Contemporary Art History; Marko Drobnjaković, Documentary Photographer; Teresa Freitas, Director, Lisbon Street Photo Fest; Šejla Kamerić, Visual Artist; Coline Plançon, Curator & Coordinator, PhotoSaintGermain; Fernanda Prado Verčič, Director, Kranj Foto Fest; Ionuț Trandafirescu, Director, Bucharest Photofest",,Not accepted,sarajevo-photography-festival-2026,true,2026-03-15
Framed: Black and White,Black Box Gallery,2026-04-10,$40,exhibition,"Juried black and white group show exploring classic, nostalgic and dynamic translation with diversity of contemporary voices. Portland, OR.",https://blackboxgallery.com/Framed-Black%20and%20White%202026-CFE.html,@blackboxgallerypdx,"Portland, OR, USA",Exhibition,,Email,Up to 5 images,"Todd Johnson, Founder & Director, Black Box Gallery","~April 17-20, 2026",,framed-black-and-white-black-box-gallery,false,2026-03-15
Hiding in Plain Sight,Rhode Island Center for Photographic Arts,2026-04-10,$35,exhibition,"Exploring the unseen and forgotten. Challenges myths and revalues overlooked subjects. Providence, RI.",https://www.riphotocenter.org/hiding-in-plain-sight-call-for-entry/,@riphotoarts,"Providence, RI, USA",$250,,CaFE,3–15 images,"Lou Jones, Photographer",,,hiding-in-plain-sight-rhode-island-center-for-photographic-arts,false,2026-03-15
Queer Conscience 2026 Photography Exhibition,The Image Flow,2026-04-04,$40,exhibition,"4th annual for LGBTQIA2+ community. Seeking work affirming our own truths and expressing resistance during Pride month. Mill Valley, CA.",https://theimageflow.com/gallery/call-for-entry-queer-conscience-2026-photography-exhibition/,@theimageflow,"San Anselmo, CA, USA",,united-states; lgbtq,ArtCall,Up to 5 images,"Conor Moynihan, Associate Curator, RISD Museum; Nathan Lomas, Gallery Coordinator, The Image Flow","April 17, 2026",,queer-conscience-2026-photography-exhibition-the-image-flow,false,2026-03-15
PPA Photo Award 2026,Pasadena Photography Arts,2026-04-12,$42,grant,"For emerging US photographers. Prize: $2,000 cash, interview, Lenscratch feature, virtual artist talk. Juror: Craig Krull, art dealer.",https://artist.callforentry.org/festivals_unique_info.php?ID=16748,@pasadenaphotoarts,Online,"$2,000",united-states; emerging,CaFE,10–20 images,"Craig Krull, Founder, Craig Krull Gallery","August 21, 2026","AI editing OK, fully generated not accepted",ppa-photo-award-2026-pasadena-photography-arts,false,2026-03-15
XVI Concurso Internacional de Fotografía sobre Humanización Asistencial,Hospital San Juan de Dios de León,2026-04-13,Free,photography,"16th edition of this international photography competition seeking images that reflect humanization, solidarity, and care in healthcare and everyday life. Photos can depict professional healthcare settings, family, personal, sports, or cultural environments where someone helps a person in need. Open to all adults. Up to 3 photographs per participant. Prizes: €600, €400, €200 plus a weekend stay.",https://hospitalsanjuandedios.es/actualidad/noticias/un-viaje-visual-a-la-esencia-de-los-cuidados/,@hsjdleon,"León, Spain",€600,,Email,Up to 3 images,,,,xvi-concurso-internacional-de-fotograf-a-sobre-humanizaci-n-asistencial-hospital-san-juan-de-dios-de-le-n,false,2026-03-20
light,A Smith Gallery,2026-04-13,$40 for first 5 images; $5 each additional,exhibition,"Exploring light as key element. 47 images selected. Exhibition May 8 - June 18, 2026. Juror: Elizabeth Avedon. Johnson City, TX.",https://asmithgallery.com/main-gallery-call-for-entry/,@asmithgallery,"Johnson City, TX, USA",,,Website form,Unlimited images,"Elizabeth Avedon, Curator & Photography Book Designer","April 24, 2026",,light-a-smith-gallery,false,2026-03-15
Sharing and Caring Cities: Portraits of Collective Urban Life,Penn Institute for Urban Research,2026-04-15,Free,photography,10th annual photography contest exploring shared urban spaces addressing inequality and climate change. Open to all photographers.,https://penniur.upenn.edu/media/photography-contest/2026-photography-contest-sharing-and-caring-cities,@pennurban,"Philadelphia, PA, USA",$500,,Website form,3 images,"Nikhil Anand, Professor of Anthropology, Penn; Amy Hillier, Associate Professor, Penn; Matthew Neff, Director, Undergraduate Fine Arts, Weitzman School; Jennifer Whittaker, Research Scientist, CHOP Policy Lab",,Not accepted,sharing-and-caring-cities-portraits-of-collective-urban-life-penn-institute-for-urban-research,false,2026-03-16
Portrait Awards 2026,Dodho Magazine,2026-04-15,€30,photography,"Fourth edition celebrating portrait as a space of presence, responsibility, and authorship amidst visual saturation. Barcelona.",https://www.dodho.com/photography-awards/,@dodhomagazine,"Barcelona, Spain",Publication,,Website form,"3, 6, or 12 images","Aline Smithson, Founder & Editor, Lenscratch; Burkhard Arnold, Gallery Director, in focus Galerie; Erin Hoyt, Executive Director, Filter Photo Festival; Roger Ballen, Photographer","May 1-3, 2026",,portrait-awards-2026-dodho-magazine,false,2026-03-15
ViewPoint Gallery International Photography Competition,ViewPoint Gallery,2026-04-15,$25,exhibition,"Twelve winners display professionally printed, matted, framed work for one month each from June 2026 to May 2027. Eastern Canada.",https://www.viewpointgallery.ca/photocontest,@viewpointgalleryhfx,"Halifax, Canada",Exhibition,,Website form,3 images,,"May 8, 2026",,viewpoint-gallery-international-photography-competition,true,2026-03-15
The Cortona on The Move / BarTur Grant,BarTur Photo Award / Cortona On The Move,2026-02-13,$25,grant,Supports photographers with ongoing projects. Honors visual storytellers who push the medium forward with clear authorship. Winners exhibited at Cortona On The Move festival. Note: Cortona On The Move and BarTur Photo Award have announced the conclusion of their collaboration after the first edition.,https://site.picter.com/cotm-bartur-grant-2026,@barturphoto_award,"Cortona, Italy","$30,000",professional,Picter,,,July 2026,Not accepted,the-cortona-on-the-move-bartur-grant,true,2026-03-15
Montgomery Photo Festival 2026,Montgomery Photo Festival,2026-04-17,$35,exhibition,"Eighth annual festival. Four categories: Color, Monochromatic, Alternative process, Manipulation. No theme; all work acceptable.",https://themontgomeryphotofestival2026.artcall.org,@thenine_montgomery,"Montgomery, AL, USA","$3,500",,ArtCall,3 images,"Carol McCusker, Juror","May 22, 2026",,montgomery-photo-festival-2026,true,2026-03-15
LUMINOSITY - The Impact of Light,New York Center for Photographic Arts,2026-04-19,$40,exhibition,"Exploring light's presence, absence, and location. Winners receive $4,000 cash, online gallery feature, catalog publication. New York, NY.",https://www.nyc4pa.com/luminosity,@nyc4pa,"New York, NY, USA","$4,000",,SmarterEntry,Unlimited images,"Crista Dix, Executive Director, Griffin Museum of Photography","~May 3-10, 2026",,luminosity-the-impact-of-light-new-york-center-for-photographic-arts,false,2026-03-15
FMoPA International Photography Competition 2026,Florida Museum of Photographic Arts,2026-04-22,$10,exhibition,"International jury selection. Winning entries printed and exhibited June 16 - August 2, 2026 at Ybor City, Tampa.",https://site.picter.com/fmopa-international-photography-competition-2026,@fmopa,"Tampa, FL, USA","$1,000",,Picter,,"Jessica Jarl, Global Director of Exhibitions, Fotografiska; Hiromi Nakamura, Photographer; Elena Paraskeva, Photographer; Bärbel Reinhard, Photographer, Curator & Educator; Kristen Roles, Photographic Artist & Educator","May 13, 2026",,fmopa-international-photography-competition-2026-florida-museum-of-photographic-arts,false,2026-03-15
CITY Photography Exhibit,Dusk Photo Gallery,2026-04-16,$40–$45,exhibition,"Capturing personal urban experience from quiet, unnoticed moments to the bustling energy of a metropolis. Santa Fe, NM.",https://duskphotogallery.com/city/,@duskphotogallery,"Santa Fe, NM, USA",,,Website form,5 or 10 images,"Holly Hart, Fine Art Photographer & Founder, Dusk Gallery","~May 7, 2026",,city-photography-exhibit-dusk-photo-gallery,false,2026-03-15
Film Photo Award 2026,Film Photo Award,2026-04-26,$25–$35,grant,"Three grants of professional film and complimentary processing by Praus Productions. Open to emerging, established, and student photographers worldwide.",https://artist.callforentry.org/festivals_unique_info.php?ID=17170,@filmphotoaward,Online,,united-states,CaFE,1–15 images,,Late May 2026,,film-photo-award-2026,true,2026-03-21
HOME Photography Exhibit,Decode Gallery,2026-04-18,$40–$45,exhibition,"Home as feeling, memory, sanctuary. Exploring domesticity, heritage, shelter, identity through diverse styles. Tucson, AZ.",https://decodegallery.com/home-call-for-entry,@decode_gallery,"Tucson, AZ, USA",,,Website form,5 or 10 images,"Holly Hart, Founder, Decode Gallery","~May 10, 2026",,home-photography-exhibit-decode-gallery,false,2026-03-15
Masterclasses Program 2026/2027,PhMuseum,2026-04-30,Paid (5 full scholarships available),education,"Online masterclasses led by Aaron Schuman, Charlie Engman, Erik Kessels, Salvatore Vitale, and Vasantha Yoganathan.",https://phmuseum.com/m26,@phmuseum,Online,,,PhMuseum,,,,,masterclasses-program-2026-2027-phmuseum,false,2026-03-15
FOTOFILMIC OPEN 2026,FotoFilmic,2026-02-28,$50,exhibition,"Open exhibition featuring contemporary film-based photography. Opening May 2, 2026 in Vancouver.",https://fotofilmic.com/open-call/,@fotofilmic,"Vancouver, Canada",Exhibition + publication,analog-photography,Fotofilmic,Up to 20 images,"Emily Keegin, Photo Director & Consultant",,Not accepted,fotofilmic-open-2026,true,2026-03-15
Exposure One Awards - One Shot Photo Contest,Exposure One,2026-03-25,$25–$50,photography,"Black and white photography celebration. Winners receive career-enhancing cash prizes, dedicated digital gallery, artist directory placement.",https://exposureoneawards.com/contests/one-shot-photo-contest,@exposureoneawards,Online,,,Exposure One Awards,1–5 images,"Beatrice Tamagnini, Vogue; Lindsey Sharman, Art Gallery of Alberta; Shana Lopes, SFMOMA; Susan Ciccotti, Aperture; Paris Chong, Leica Gallery LA","May 25, 2026",Not accepted,exposure-one-awards-one-shot-photo-contest,true,2026-03-15
The Hopper Prize Grants,The Hopper Prize,2026-05-05,$40,grant,"$13,000 total: 2 artists x $4,500 and 4 artists x $1,000. All visual art media eligible. 30-artist shortlist and online journal.",https://hopperprize.org/artist-grant-program/,@hopperprize,Online,"$4,500",,Hopper Prize,Up to 10 images,"Lauren Rosati, Associate Curator, The Metropolitan Museum of Art; Laura Phipps, Assistant Curator, Whitney Museum; Jody Graf, Assistant Curator, MoMA PS1; María Elena Ortiz, Curator, Pérez Art Museum Miami; Leila Grothe, Associate Curator, Baltimore Museum of Art",,,the-hopper-prize-grants,true,2026-03-15
7th Annual Alternative Process Photography Exhibition,The Image Flow / Praxis Gallery,2023-07-24,$35,exhibition,"Seeking work in cyanotype, wet plate collodion, salt printing, anthotype, gum bichromate, lumen printing, platinum/palladium, and other alternative processes.",https://theimageflow.com/gallery/call-for-entry-7th-annual-alternative-process-exhibition/,@theimageflow,"Mill Valley, CA, USA",,united-states,ArtCall,Up to 3 images,"Diane Chung, Founder, CHUNG 24 GALLERY; Brenton Hamilton, Photography Program Leader, UT Rio Grande Valley; Zack Sumner Schomp, Lecturer, CSU East Bay",,,7th-annual-alternative-process-photography-exhibition-the-image-flow-praxis-gallery,false,2026-03-15
SHADOW PLAY 2026,Cape Cod Art Center,2026-05-17,$15,exhibition,"Open juried online photography exhibit exploring shadow and light. Any interpretation of the theme welcome. Cash prizes for first, second, and honorable mention.",https://www.smarterentry.com/CallsForEntry/CapeCodArt,@capecodartcenter,Online,,,,,,,,shadow-play-2026-cape-cod-art-center,false,2026-03-16
1839 Awards Color Photography Contest,1839 Awards,2026-05-18,$25–$50,photography,"Celebrating color photography. Winners receive $4,000 cash prizes, dedicated digital gallery, global artist directory placement.",https://1839awards.com/contests/color-photo-contest,@1839awards,Online,"$2,500",,1839 Awards,1–5 images,"Alessa Widmer, University of Zurich; Derek Eng, Dwell; Hanna Girma, Serpentine; Hilary Greenbaum, Whitney Museum; Kelly Sidley, Bonhams; Maia Murphy, Phaidon Press","June 5, 2026",,1839-awards-color-photography-contest,true,2026-03-15
Photographic Performance 2026,A Smith Gallery,2026-05-18,$75,exhibition,"Sixth year. Seeking solo/cooperative exhibitions with conceptual narrative. Photography-based or mixed media welcome; installations considered. Johnson City, TX.",https://asmithgallery.com/photographic-performance-call-for-entry/,@asmithgallery,"Johnson City, TX, USA",,,Website form,12–20 images,"Amanda Smith, Founder & Co-Director; Kevin Tully, Co-Director","May 22, 2026",Not accepted,photographic-performance-2026-a-smith-gallery,false,2026-03-15
reFocus Awards - Black and White Photo Contest,reFocus Awards,2026-05-27,$25–$50,photography,Celebrating black and white photography. Winners receive career-enhancing cash prizes.,https://refocus-awards.com/contests/black-white-photo-contest,@refocus.awards,Online,,,reFocus Awards,1–5 images,"Gabriel H. Sanchez, Photo Editor, The New York Times; Anna Alexander, Director of Photography, WIRED; Dave Shelley, Co-Founder, Photoville; Paris Chong, Gallery Director, Leica Gallery LA; Maia Murphy, Senior Editor, Phaidon Press","June 15, 2026",,refocus-awards-black-and-white-photo-contest,true,2026-03-15
The Book Project - Street Photography,Black Box Gallery,2026-05-25,$40,zine,"Hardbound books each featuring 10 photographers (5 images each). Sixth call focusing on street photography. Portland, OR.",https://blackboxgallery.com/Street-2026-CFE.html,@blackboxgallerypdx,"Portland, OR, USA",,,Email,5–10 images,"Todd Johnson, Founder & Director, Black Box Gallery",~Early June 2026,,the-book-project-street-photography-black-box-gallery,false,2026-03-15
The Hand Magazine - Issue #53 Summer 2026,The Hand Magazine,2026-05-30,$15–$30 (subscription required),zine,Submit up to 5 images for Issue #53 of this international publication focused on photographic printmaking and hand-printed work. No theme — variety wanted. Must be a subscriber to submit. Ideal for alternative process artists.,https://www.thehandmagazine.space/current-call-for-entries/,@thehandmagazine,Online,,membership-required,Email,5 images,,,,the-hand-magazine-issue-53-summer-2026,true,2026-03-20
JUST ADD WATER,Art Fluent,2026-06-05,$25,exhibition,"Exploring water — oceans, rain, rivers, puddles. Artists worldwide invited. Online exhibition. Boston, MA.",https://art-fluent.com/calls-for-art/just-add-water-prospectus/,@art_fluent,Online,$750,,CaFE,20 images,"Amy Matteson Neill, Creative Director","July 2, 2026",Not accepted,just-add-water-art-fluent,false,2026-03-15
BOTANICALS,New York Center for Photographic Arts,2026-06-07,$40,exhibition,"All photographic processes accepted. Winners receive $4,000 cash, online gallery feature, catalog publication. New York, NY.",https://www.nyc4pa.com/from-a-seed,@nyc4pa,"New York, NY, USA","$4,000",,SmarterEntry,Unlimited images,"Dan Burkholder, Photographer",~Late June 2026,,botanicals-new-york-center-for-photographic-arts,false,2026-03-15
Snider Prize,Museum of Contemporary Photography at Columbia,2026-06-12,Free,grant,"For emerging artists in final year of graduate study. Winner: $3,000; two honorable mentions: $500 each. Acquisitions into MoCP permanent collection.",https://form.jotform.com/260064138609153,@mocpchi,"Chicago, IL, USA","$3,000",emerging,JotForm,10 images,,Fall 2026,,snider-prize-museum-of-contemporary-photography-at-columbia,false,2026-03-15
Evolution Grant,Art Fluent,2026-06-19,$35,grant,"Unrestricted $1,000 grant per cycle to individual artist with recognized artistic excellence and demonstrated commitment.",https://art-fluent.com/calls-for-art/evolution-grant-prospectus/,@art_fluent,Online,"$1,000",,CaFE,5–20 images,,,Not accepted,evolution-grant-art-fluent,false,2026-03-15
reFocus Awards - Color Photography Contest,reFocus Awards,2026-06-22,$25–$50,photography,Celebrating color photography. Winners receive career-enhancing cash prizes and digital gallery placement.,https://refocus-awards.com/contests/color-photo-contest,@refocus.awards,Online,,,Website form,,"Gabriel H. Sanchez, Photo Editor, The New York Times; Irene Opezzo, Photo Director, Robb Report; Rasha Kahil, Creative Director, HTSI Financial Times; Anna Alexander, Director of Photography, WIRED; Dave Shelley, Co-Founder, Photoville; Paris Chong, Gallery Director, Leica Gallery LA; Daniel Melamud, Editor, Rizzoli","July 13, 2026",,refocus-awards-color-photography-contest,true,2026-03-15
Helsinki Analog Festival 2026 - Analog Practice Exhibition,Helsinki Analog Festival,2026-06-01,€20,exhibition,International open call for artists using analog processes across various mediums. Celebrating materiality and craftsmanship.,https://www.forphotographersonly.com/event-details/helsinki-analog-festival-2026-analog-practice-exhibition,@helsinkianalogfestival,"Helsinki, Finland",,analog-photography,ForPhotographersOnly,,,,,helsinki-analog-festival-2026-analog-practice-exhibition,true,2026-03-15
2027 Artist-in-Residence Program,Light Work,2026-07-01,$10,residency,"$7,500 stipend plus furnished apartment and 24-hour studio access in Syracuse, NY. One of the most prestigious US photography residencies.",https://lightwork.slideroom.com/,@lightworkorg,"Syracuse, NY, USA","$5,000 + apartment + publication",,SlideRoom,20 images,,December 2026,,2027-artist-in-residence-program-light-work,false,2026-03-15
Arte Laguna Prize 2026,Arte Laguna Prize,2026-06-30,€97–€122,exhibition,"International competition at Arsenale Nord, Venice. 120 finalists exhibited in 3,000 sq. meters. €10,000 first prize. All contemporary art media welcome.",https://artelagunaprize.com/terms-and-conditions-of-arte-laguna-prize-2026/,@artelagunaprize,"Venice, Italy","€10,000",,artelaguna.world,5 images,"Sarah Crowe, Assistant Curator, Kunsthalle Wien; Yuko Hasegawa, Curator & Director, 21st Century Museum, Kanazawa; Wang Chunchen, Chief Curator, CAFA Art Museum Beijing; Hélio Menezes, Art Curator; Gianluigi Ricuperati, Curator & Art Director",,,arte-laguna-prize-2026,true,2026-03-21
IX International Mini Print Cantabria 2026,International Mini Print Cantabria,2026-07-31,€45–€65,exhibition,"Theme: Open Sea — Reality, imagination and poetics. All printmaking disciplines including digital prints and monotype. Max image/paper: 20x20 cm. Cantabria, Spain.",https://www.miniprintcantabria.es/en/ix-mini-print-2026,@minimiranda,"Cantabria, Spain",,,Website form,,"Carinna Parraman, Professor, University of the West of England Bristol; Eugènia Agustí, Visual Artist & Lecturer, University of Barcelona; Usama Habil, Artist & Assistant Professor, University of Salamanca","September 18, 2026",,ix-international-mini-print-cantabria-2026,true,2026-03-15
Photobook Open Call 2026,Photometria International Photography Festival,2026-02-20,€20,zine,"Open call for artist books, self-published photobooks, limited editions, zines, and DIY publications. Selected works shown at the 18th Photometria Festival (Sep-Nov 2026).",https://www.photometria.gr/en/photobook-open-call/,@photometria_festival,"Ioannina, Greece",,,Email + WeTransfer,,"Achilleas Tziakos, Co-Founder, Photometria Festival; Yorgos Yatromanolakis, Zoetrope Athens; Tiago Casanova, XYZ Books; Francesca Todde, Depart Pour L'Image",,,photobook-open-call-2026-photometria-international-photography-festival,false,2026-03-15
World Cyanotype Day,AlternativePhotography.com,2026-10-02,Free,photography,Annual international celebration of the cyanotype process. Submit your cyanotype work to be featured.,https://www.alternativephotography.com/world-cyanotype-day/,@alternativephotography_com,Online,,,Email,1 image,,,,world-cyanotype-day-alternativephotography-com,false,2026-03-15
World Anthotype Day,AlternativePhotography.com,2026-10-31,Free,photography,Annual celebration of plant-based photographic printing processes. Entries open August 1 through October 31.,https://www.alternativephotography.com/world-anthotype-day/,@alternativephotography_com,Online,,,Email,1 image,,,,world-anthotype-day-alternativephotography-com,false,2026-03-15
Innovate Grants - Quarterly Grants,Innovate Artist Grants,Continuous,$35,grant,"Quarterly grants: 2 x $1,800 (one photographer, one artist per quarter); 12 honorable mentions. Website and community recognition.",https://innovateartistgrants.org/apply,@innovateartistgrants,Online,"$1,800",,Paperform,3–10 images,,,,innovate-grants-quarterly-grants,true,2026-03-15
Analog Forever Magazine — Calls for Entry,Analog Forever Magazine,Continuous,Varies by call,zine,"High-quality print magazine (150+ pages, 8×10"") dedicated to film and analog process photography, published roughly annually. Also runs themed online group exhibitions curated by guest curators about four times a year. Check their calls-for-entry page for current open submissions.",https://www.analogforevermagazine.com/calls-for-entry/,@analogforeverzine,Online,Publication,analog-photography,,,,,,analog-forever-magazine-calls-for-entry,true,2026-03-15
Open Doors Takeovers,Open Doors Gallery,Continuous,£17,photography,Discovery account featuring artist takeovers. Connected to UNSEEN art fair and Approche. DM to propose a takeover.,https://opendoors.gallery,@odtakeovers,Online,"£1,500",emerging,,,,,,open-doors-takeovers,true,2026-03-15
Tomorrow's Talent - Open Submissions,Booooooom,Continuous,Free,zine,Global arts and culture platform featuring emerging artists. Submit your work for potential feature and inclusion in the Tomorrow's Talent book series.,https://www.booooooom.com/submit-your-work-to-booooooom-art-photo-blog/,@booooooom,Online,Publication,membership-required,Website form,5 images,,,,tomorrow-s-talent-open-submissions-booooooom,false,2026-03-15
PhMuseum Days 2026 Open Call,PhMuseum,Continuous,€18 early bird / €25,exhibition,"International photo festival competition offering 4 solo exhibitions plus additional opportunities. All approaches welcome, including experimental.",https://phmuseum.com/grants/2026-phmuseum-days-photography-open-call,@phmuseum,Online,Solo exhibition,,PhMuseum,5–20 images,"Giuseppe Oliverio, Founding & Artistic Director, PhMuseum; Pacifico Silano, Visual Artist; Rita Puig-Serra Costa, Photographer; Tara L. C. Sood, Photographer & Filmmaker",,Accepted (must disclose),phmuseum-days-2026-open-call,true,2026-03-15
Brussels Street Photography Festival 2026,Brussels Street Photography Festival,2026-03-25,€12–€45,photography,"International street photography competition with Singles and Series tracks. Singles: up to 10 individual photos. Series: 5–7 cohesive street photos. Winners exhibited at the festival in Brussels, May 28–31, 2026.",https://www.bspfestival.org/open-call,@bspfestival,"Brussels, Belgium","€4,150",,JotForm,1–10 images,,"May 28-31, 2026",,brussels-street-photography-festival-2026,true,2026-03-18
Form Photo Award 2026,Form Gallery,2026-03-29,€35,photography,"Annual photography prize dedicated to contemporary image-making. Open theme, accepts single images and series. Top 5 winners exhibit at photo basel during Art Basel Week in June 2026. Shortlisted receive digital exhibition and catalogue inclusion.",https://site.picter.com/form-photo-award-2026,@form.galerie,"Basel, Switzerland",Exhibition,,Picter,,"Sven Eisenhut-Hug, Co-Founder & Director, photo basel; Elwira Spychalska, Art Historian; Dimitri Bogachuk, Founder, Form","March 30, 2026",,form-photo-award-2026,true,2026-03-18
Head On Photo Festival 2026,Head On Foundation,2026-03-29,AUD 35,photography,"Major international photography festival in Sydney with an AUD 80,000 total prize pool across Portrait, Landscape, and Exposure categories. Blind-judged. Selected work exhibited in print and online during the November 2026 festival.",https://headon.org.au/submissions,@headonphotofest,"Sydney, Australia","AUD 80,000",,Website form,10 images,,November 2026,,head-on-photo-festival-2026,true,2026-03-18
Sirmione Photo Residency 2026,Comune di Sirmione,2026-03-31,Free,residency,"Two-week photography residency in Sirmione, Lake Garda (October 2026). Mentorship from Andrea Holzherr and Ludovica Pellegatta (Magnum Photos). Resulting work published as a book by the municipality.",https://sirmionefotografia.it/en/concorso/sirmione-photo-residency/,@comunedisirmione,"Sirmione, Italy","€2,500 + residency",,Website form,,"Andréa Holzherr, Global Cultural Director, Magnum Photos; Ludovica Pellegatta, Partnerships Director, Magnum Photos",,,sirmione-photo-residency-2026-comune-di-sirmione,false,2026-03-18
9th Chania International Photo Festival,Blank Wall Gallery,2026-03-31,Free (€43 if selected),exhibition,International photography exhibition in Chania's historic Grand Arsenali building. Submit 1–5 photos across 16 categories. Selected photos printed and framed at no cost by the festival.,https://www.cipfestival.com/contest/,@blankwallgallery,"Chania, Greece",Exhibition,,Email,1–5 images,"Maria Toutoudaki, Director, Blank Wall Gallery; Alain Schroeder, Photographer; Bob Patterson, Publisher, Street Photography Magazine; Frank Van Es, Professor, Grafisch Lyceum Rotterdam",,,9th-chania-international-photo-festival-blank-wall-gallery,false,2026-03-18
EuroNatur Photo Competition 2026,EuroNatur,2026-03-31,Free,photography,"Nature photography competition for photographers residing in Europe. Submit up to 5 photos of European flora, fauna, and landscapes. 33rd edition. Winners published in EuroNatur magazine and included in 2027 wall calendar.",https://www.euronatur.org/en/about-euronatur/information-and-contact/publications-and-events/photo-competition/competition-2026,@euronatur,"Radolfzell, Germany","€1,500",,Email,5 images,"Kerstin Sauer, Art Director, EuroNatur; Robin Vornholz, Editor, natur magazine; Peter Laufmann, Environmental Journalist",Fall 2026,,euronatur-photo-competition-2026,true,2026-03-18
Vision(ary) 2026: Raising Our Voices,Griffin Museum of Photography,2026-03-30,$45,exhibition,"Annual outdoor public art exhibition transforming downtown Winchester, MA into an open-air gallery (June–September 2026). Theme: advocacy and social justice. Submit 5–10 images of a complete project via CaFE. Juror: Elizabeth Krist (National Geographic).",https://artist.callforentry.org/festivals_unique_info.php?ID=16878,@griffinmuseum,"Winchester, MA, USA",Exhibition,,CaFE,5–10 images,"Elizabeth Krist, Senior Photo Editor, National Geographic","After May 1, 2026",,vision-ary-2026-raising-our-voices-griffin-museum-of-photography,false,2026-03-18
Griffin Museum — Self Published Photobook Exhibition 2026,Griffin Museum of Photography,2026-03-30,$45,exhibition,16th annual exhibition showcasing up to 50 self-published photobooks at the Griffin Gallery during summer 2026. Submit up to 3 photobook PDFs via CaFE. Jurors: Karen Davis (Davis Orton Gallery) and Crista Dix (Griffin Museum).,https://artist.callforentry.org/festivals_unique_info.php?ID=16877,@griffinmuseum,"Winchester, MA, USA",Exhibition,,CaFE,5 images,"Karen Davis, Curator, Davis Orton Gallery; Crista Dix, Executive Director, Griffin Museum","After May 1, 2026",,griffin-museum-self-published-photobook-exhibition-2026,true,2026-03-18
Siena Creative Photo Awards 2026,Siena Awards,2026-04-01,Free,photography,"International contest rewarding originality and experimentation in photography across 8 categories including Fine Art, People, Architecture, and Nature. Winners honored at the ceremony in Siena's Teatro dei Rinnovati.",https://sienawards.com/creative,@sienawards,"Siena, Italy",€500 + exhibition,,Website form,Unlimited images,"Ami Vitale, Photographer; Brian Skerry, Photographer; Steve Winter, Photographer; Kathy Moran, Photo Editor; Sarah Leen, Photographer; Yumi Goto, Curator","September 27, 2026",Not accepted,siena-creative-photo-awards-2026,true,2026-03-18
Objectif FEMMES 2026,PARISARTISTES#,2026-04-02,€40,exhibition,Open call for female photographers exploring the bicentennial of photography. Selected artists exhibit at Salons Aguado in Paris. Submit up to 10 photographs with artist statement. Open to professional and emerging photographers.,https://www.objectif-femmes.art/event/appel-a-candidatures-2026-2/register,@objectif_femmes,"Paris, France",Exhibition,women,Website form,10 images,,,Not accepted,objectif-femmes-2026-parisartistes,false,2026-03-18
Counter Histories Puerto Rico,Magnum Foundation,2026-04-01,Free,grant,"Fellowship for photographers engaging with Puerto Rico and its diaspora, supporting projects that creatively reframe the past. 8-month virtual fellowship with one in-person symposium. Up to 8 recipients. Applications in English or Spanish.",https://www.magnumfoundation.org/news/counter-histories-puerto-rico-2026-open-call,@magnumfoundation,Online,"$10,000",puerto-rico,Submittable,,,,,counter-histories-puerto-rico-magnum-foundation,false,2026-03-18
Golden Shot International Photography Awards 2026,Golden Shot Photography Awards,2026-04-10,$25–$35,photography,"International photography competition across 16 categories including Portrait, Landscape, Street, Fine Art, Documentary, and Nature. Open to professional and amateur photographers. Winners announced July 2026.",https://gspawards.com/,@gspawards,Online,"$1,000",,Website form,Unlimited images,"Ed Kashi, Photojournalist; Andrea Bruce, Photojournalist; Anna Alexander, Photographer; Cheryl Newman, Artist & Curator; Tomas Neuwirth, Photographer; Remi Masson, Photographer",,,golden-shot-international-photography-awards-2026,true,2026-03-18
Meitar Award for Excellence in Photography 2026,PHOTO IS:RAEL,2026-04-12,$35–$45,photography,International award recognizing a cohesive body of photographic work. 20 finalists exhibited at the International Photography Festival in Tel Aviv (November 2026). Winner receives a solo exhibition at the 2027 festival. 10th edition.,https://meitar.photoisrael.org/,@i_photography_festival,"Tel Aviv, Israel","$14,000",,Website form,6–12 images,"Roger Ballen, Photographer & Artist; Laura Letinsky, Professor, University of Chicago; Anne Leighton Massoni, Director, Houston Center for Photography; Michael Benson, Co-Founder, PHOTO LONDON; Dr. Gilad Reich, Curator of Photography, The Israel Museum",November 2026,,meitar-award-for-excellence-in-photography-2026-photo-is-rael,false,2026-03-18
